Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian Wildcats,Abilene Texas,1971,2021,11,318,168,150,.528,-9.54,-7.00,0,0,1,1,0,0
2,Air Force Falcons,USAF Academy Colorado,1958,2021,63,1727,746,981,.432,-2.78,1.33,0,1,0,4,0,0
3,Akron Zips,Akron Ohio,1902,2021,70,1614,956,658,.592,-0.17,-1.46,0,9,4,4,0,0
4,Alabama A&M Bulldogs,Normal Alabama,2000,2021,22,623,238,385,.382,-17.01,-11.47,0,1,1,1,0,0
5,Alabama Crimson Tide,Tuscaloosa Alabama,1913,2021,108,2782,1713,1068,.616,7.44,4.66,15,10,7,21,0,0
6,Alabama State Hornets,Montgomery Alabama,1983,2021,39,1144,544,600,.476,-13.20,-10.20,0,4,4,4,0,0
7,Alabama-Birmingham Blazers,Birmingham Alabama,1980,2021,42,1345,839,506,.624,6.34,2.44,2,7,5,15,0,0
8,Albany (NY) Great Danes,Albany New York,2000,2021,22,674,333,341,.494,-6.59,-5.98,0,2,5,5,0,0
9,Alcorn State Braves,Alcorn State Mississippi,1978,2021,44,1291,558,733,.432,-13.70,-8.91,0,10,6,6,0,0
10,Allegheny Gators,Meadville Pennsylvania,1896,1916,21,234,191,41,.823,,,0,0,0,,,
11,American Eagles,Washington D.C.,1967,2021,55,1542,759,783,.492,-5.46,-3.69,0,7,3,3,0,0
12,Amherst Lord Jeffs,Amherst Massachusetts,1901,1902,2,12,12,0,1.000,,,0,0,0,,,
13,Appalachian State Mountaineers,Boone North Carolina,1974,2021,48,1409,688,721,.488,-5.93,-3.36,0,10,2,2,0,0
14,Arizona State Sun Devils,Tempe Arizona,1912,2021,106,2591,1378,1213,.532,4.98,3.96,7,8,0,16,0,0
15,Arizona Wildcats,Tucson Arizona,1905,2021,114,2780,1825,954,.657,8.97,5.04,27,24,7,35,4,1
16,Arkansas Razorbacks,Fayetteville Arkansas,1924,2021,98,2700,1728,972,.640,7.68,3.14,16,26,7,32,6,1
17,Arkansas State Red Wolves,State University Arkansas,1971,2021,51,1474,753,721,.511,-3.66,-2.98,0,7,1,1,0,0
18,Arkansas-Pine Bluff Golden Lions,Pine Bluff Arkansas,1999,2021,23,690,202,488,.293,-19.67,-8.41,0,0,1,1,0,0
19,Armstrong Pirates,Savannah Georgia,1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0
20,Army Black Knights,West Point New York,1903,2021,119,2535,1261,1274,.497,-9.05,-4.55,0,0,0,0,0,0
21,Auburn Tigers,Auburn Alabama,1906,2021,115,2625,1401,1223,.534,5.61,4.24,8,4,2,10,1,0
22,Augusta State Jaguars,Augusta Georgia,1985,1991,7,197,64,133,.325,-17.30,-8.00,0,0,0,0,0,0
23,Augustana (IL) Vikings,Rock Island Illinois,1902,1917,12,116,81,35,.698,,,0,0,0,,,
24,Austin Peay Governors,Clarksville Tennessee,1964,2021,58,1666,838,828,.503,-5.48,-3.46,1,8,5,7,0,0
25,Baker University Wildcats,Baldwin City Kansas,1903,1908,6,90,62,28,.689,,,0,0,0,,,
26,Baldwin-Wallace Yellow Jackets,Berea Ohio,1948,1953,6,139,82,57,.590,-4.45,1.84,0,0,0,0,0,0
27,Ball State Cardinals,Muncie Indiana,1972,2021,50,1464,778,686,.531,-0.83,-0.70,1,10,7,7,0,0
28,Baltimore Super Bees,Baltimore Maryland,1979,1983,5,133,46,87,.346,-13.76,-6.45,0,0,0,0,0,0
29,Baylor Bears,Waco Texas,1907,2021,115,2774,1396,1378,.503,1.95,2.60,7,5,0,12,2,0
30,Bellarmine Knights,Louisville Kentucky,2021,2021,1,19,13,6,.684,-1.59,-6.30,0,0,0,0,0,0
31,Belmont Bruins,Nashville Tennessee,2000,2021,22,696,466,230,.670,1.38,-3.69,0,12,8,8,0,0
32,Beloit Buccaneers,Beloit Wisconsin,1911,1924,8,95,66,28,.702,,,0,0,0,,,
33,Bethune-Cookman Wildcats,Daytona Beach Florida,1981,2020,40,1185,433,752,.365,-16.65,-9.97,0,2,0,0,0,0
34,Binghamton Bearcats,Binghamton New York,2002,2021,20,592,209,383,.353,-11.22,-5.45,0,1,1,1,0,0
35,Birmingham-Southern Panthers,Birmingham Alabama,1920,2006,5,105,65,40,.619,-5.44,-8.71,0,1,0,0,0,0
36,Bloomsburg Huskies,Bloomsburg Pennsylvania,1896,1911,15,143,88,55,.615,,,0,0,0,,,
37,Boise State Broncos,Boise Idaho,1972,2021,50,1470,821,649,.559,0.46,-0.55,0,6,5,7,0,0
38,Boston College Eagles,Chestnut Hill Massachusetts,1946,2021,76,2132,1160,972,.544,3.13,3.26,8,6,2,18,0,0
39,Boston University Terriers,Boston Massachusetts,1916,2021,95,2182,1120,1062,.513,-6.65,-5.31,0,8,7,7,0,0
40,Bowling Green State Falcons,Bowling Green Ohio,1916,2021,106,2627,1422,1205,.541,-0.41,0.07,2,9,0,4,0,0
41,Bradley Braves,Peoria Illinois,1903,2021,117,2932,1704,1228,.581,4.65,2.95,12,7,4,9,2,0
42,Brigham Young College,Logan Utah,1908,1908,1,11,10,1,.909,,,0,0,0,,,
43,Brigham Young Cougars,Provo Utah,1903,2021,119,2980,1872,1108,.628,7.79,3.60,11,25,3,29,0,0
44,Brooklyn Bulldogs,Brooklyn New York,1934,1992,25,567,233,334,.411,-19.21,-9.62,0,0,0,0,0,0
45,Brown Bears,Providence Rhode Island,1901,2021,115,2601,1060,1541,.408,-10.86,-4.57,0,1,0,2,0,0
46,Bryant Bulldogs,Smithfield Rhode Island,2011,2021,11,329,126,203,.383,-10.17,-5.40,0,0,0,0,0,0
47,Bucknell Bison,Lewisburg Pennsylvania,1896,2021,126,2722,1467,1255,.539,-8.17,-6.79,0,18,8,8,0,0
48,Buffalo Bulls,Buffalo New York,1907,2021,52,1257,646,611,.514,-4.55,-2.31,1,5,4,4,0,0
49,Butler Bulldogs,Indianapolis Indiana,1897,2021,123,2795,1628,1167,.582,1.94,3.24,8,13,7,16,2,0
50,Cal Poly Mustangs,San Luis Obispo California,1995,2021,27,785,306,479,.390,-7.12,-1.83,0,1,1,1,0,0
51,Cal State Bakersfield Roadrunners,Bakersfield California,2011,2021,11,342,172,170,.503,-4.58,-3.21,0,1,1,1,0,0
52,Cal State Fullerton Titans,Fullerton California,1975,2021,47,1357,641,716,.472,-2.01,-0.35,0,2,3,3,0,0
53,Cal State Long Beach 49ers,Long Beach California,1970,2021,52,1541,831,710,.539,0.75,1.10,5,14,5,9,0,0
54,Cal State Los Angeles Golden Eagles,Los Angeles California,1971,1975,5,130,70,60,.538,-1.89,1.34,0,0,0,1,0,0
55,Cal State Northridge Matadors,Northridge California,1991,2021,31,916,393,523,.429,-5.47,-1.92,0,3,2,2,0,0
56,California Baptist Lancers,Riverside California,2019,2021,3,82,49,33,.598,-4.02,-5.87,0,0,0,0,0,0
57,Campbell Fighting Camels,Buies Creek North Carolina,1978,2021,44,1269,534,735,.421,-12.44,-7.13,0,2,1,1,0,0
58,Canisius Golden Griffins,Buffalo New York,1904,2021,117,2616,1325,1291,.506,-3.75,-1.78,1,8,1,4,0,0
59,Carleton College Knights,Northfield Minnesota,1910,1934,25,360,280,80,.778,,,0,0,0,,,
60,Carnegie Mellon Tartans,Pittsburgh Pennsylvania,1933,1939,7,87,40,47,.460,,,0,2,0,0,0,0
61,Case Western Reserve Spartans,Cleveland Ohio,1898,1955,13,245,95,150,.388,-18.31,-2.68,0,0,0,0,0,0
62,Catholic Cardinals,Washington D.C.,1913,1981,13,248,122,126,.492,-15.98,-6.69,0,0,0,1,0,0
63,Centenary (LA) Gents,Shreveport Louisiana,1960,2011,52,1435,637,798,.444,-8.73,-3.96,1,1,1,0,0,0
64,Central Arkansas Bears,Conway Arkansas,2011,2021,11,328,98,230,.299,-14.29,-4.82,0,0,0,0,0,0
65,Central Connecticut State Blue Devils,New Britain Connecticut,1987,2021,35,1013,400,613,.395,-12.73,-7.55,0,3,3,3,0,0
66,Central Florida Knights,Orlando Florida,1985,2021,37,1099,552,547,.502,-3.73,-2.29,0,1,4,5,0,0
67,Central Michigan Chippewas,Mount Pleasant Michigan,1974,2021,48,1379,609,770,.442,-3.98,-0.42,0,8,2,4,0,0
68,Central Missouri Mules,Warrensburg Missouri,1913,1937,10,178,140,38,.787,,,0,0,0,,,
69,Central Normal College,Danville Indiana,1931,1931,1,19,19,0,1.000,,,0,0,0,,,
70,Central Pennsylvania College Knights,Summerdale Pennsylvania,1896,1900,4,6,2,4,.333,,,0,0,0,,,
71,Centre (KY) Colonels,Danville Kentucky,1910,1919,3,45,41,4,.911,,,0,0,0,,,
72,Charleston Southern Buccaneers,Charleston South Carolina,1975,2021,47,1344,553,791,.411,-13.28,-7.17,0,4,4,1,0,0
73,Charlotte 49ers,Charlotte North Carolina,1973,2021,49,1450,792,658,.546,3.22,1.94,2,6,5,11,1,0
74,Chattanooga Mocs,Chattanooga Tennessee,1978,2021,44,1350,813,537,.602,-2.45,-3.60,1,19,11,11,0,0
75,Cheyenne Business College,Cheyenne Wyoming,1903,1903,1,1,1,0,1.000,,,0,0,0,,,
76,Chicago Maroons,Chicago Illinois,1896,1946,46,862,419,443,.486,,,0,6,0,0,0,0
77,Chicago State Cougars,Chicago Illinois,1985,2021,37,1061,273,788,.257,-15.85,-2.14,0,0,1,0,0,0
78,Cincinnati Bearcats,Cincinnati Ohio,1902,2021,120,2879,1844,1035,.641,11.58,5.06,25,25,12,33,6,2
79,Citadel Bulldogs,Charleston South Carolina,1913,2021,109,2415,1015,1400,.420,-12.97,-5.42,0,0,0,0,0,0
80,City College of New York Beavers,New York New York,1906,1953,48,725,517,208,.713,-0.07,2.71,0,1,0,2,2,1
81,Clemson Tigers,Clemson South Carolina,1912,2021,110,2688,1362,1324,.507,5.52,4.30,6,1,1,12,0,0
82,Cleveland State Vikings,Cleveland Ohio,1973,2021,49,1435,710,725,.495,-3.49,-1.64,0,4,2,2,0,0
83,Coastal Carolina Chanticleers,Conway South Carolina,1987,2021,35,1045,535,510,.512,-7.98,-6.30,0,7,5,4,0,0
84,Colgate Raiders,Hamilton New York,1901,2021,121,2729,1317,1412,.483,-10.55,-5.61,0,5,3,3,0,0
85,College of Charleston Cougars,Charleston South Carolina,1992,2021,30,926,635,291,.686,0.92,-4.11,2,13,4,5,0,0
86,College of New Jersey Lions,Ewing New Jersey,1900,1900,1,5,3,2,.600,,,0,0,0,,,
87,Colorado Buffaloes,Boulder Colorado,1902,2021,118,2587,1357,1230,.525,5.26,5.94,5,19,1,14,2,0
88,Colorado College Tigers,Colorado Springs Colorado,1915,1937,23,376,233,143,.620,,,0,7,0,,,
89,Colorado School of Mines Orediggers,Golden Colorado,1908,1937,28,282,80,202,.284,,,0,2,0,,,
90,Colorado State Rams,Fort Collins Colorado,1902,2021,117,2591,1303,1288,.503,2.79,2.32,0,6,1,10,0,0
91,Columbia Lions,New York New York,1901,2021,121,2648,1308,1340,.494,-7.68,-5.16,2,13,0,3,0,0
92,Concordia Seminary Preachers,St. Louis Missouri,1907,1923,2,16,14,2,.875,,,0,0,0,,,
93,Connecticut Huskies,Storrs Connecticut,1901,2021,115,2663,1688,975,.634,6.53,1.08,16,27,8,32,5,4
94,Coppin State Eagles,Baltimore Maryland,1986,2021,36,1084,497,587,.458,-10.84,-8.15,0,10,4,4,0,0
95,Cornell Big Red,Ithaca New York,1899,2021,123,2730,1269,1461,.465,-7.80,-4.50,0,8,0,5,0,0
96,Cotner University,Lincoln Nebraska,1910,1911,2,27,24,3,.889,,,0,0,0,,,
97,Creighton Bluejays,Omaha Nebraska,1912,2021,101,2637,1603,1034,.608,3.96,3.45,5,16,12,21,0,0
98,Cumberland University Bulldogs,Lebanon Tennessee,1904,1904,1,4,4,0,1.000,,,0,0,0,,,
99,Dakota Wesleyan Tigers,Mitchell South Dakota,1932,1932,1,20,19,1,.950,,,0,0,0,,,
