Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
433,Utah Valley Wolverines,Orem Utah,2010,2021,12,369,194,175,.526,-6.13,-4.98,0,3,0,0,0,0
434,Utica Pioneers,Utica New York,1982,1987,6,158,64,94,.405,-12.95,-7.35,0,0,0,0,0,0
435,Valparaiso Crusaders,Valparaiso Indiana,1918,2021,86,2195,1158,1037,.528,-4.12,-1.51,0,14,10,9,0,0
436,Vanderbilt Commodores,Nashville Tennessee,1901,2021,119,2825,1624,1201,.575,8.24,4.97,11,3,3,15,0,0
437,Vermont Catamounts,Burlington Vermont,1921,2021,66,1791,960,831,.536,-9.89,-7.13,0,11,7,7,0,0
438,Villanova Wildcats,Villanova Pennsylvania,1921,2021,101,2765,1819,946,.658,10.37,5.73,24,13,7,39,6,3
439,Virginia Cavaliers,Charlottesville Virginia,1906,2021,116,2853,1671,1181,.586,6.97,5.57,14,10,3,23,3,1
440,Virginia Commonwealth Rams,Richmond Virginia,1974,2021,48,1471,953,518,.648,5.40,0.77,3,11,9,17,1,0
441,Virginia Military Institute Keydets,Lexington Virginia,1909,2021,113,2486,918,1568,.369,-12.79,-4.74,1,2,3,3,0,0
442,Virginia Tech Hokies,Blacksburg Virginia,1909,2021,113,2736,1495,1241,.546,3.94,1.59,2,2,1,11,0,0
443,Wabash Little Giants,Crawfordsville Indiana,1897,1925,29,407,301,106,.740,,,0,0,0,,,
444,Wagner Seahawks,Staten Island New York,1966,2021,49,1399,678,721,.485,-9.65,-7.37,0,3,1,1,0,0
445,Wake Forest Demon Deacons,Winston-Salem North Carolina,1906,2021,115,2824,1556,1268,.551,7.94,6.24,17,4,5,23,1,0
446,Washburn Ichabods,Topeka Kansas,1906,1941,35,557,270,283,.488,,,0,0,0,0,0,0
447,Washington & Jefferson Presidents,Washington Pennsylvania,1913,1944,10,128,73,55,.570,,,0,0,0,0,0,0
448,Washington & Lee Generals,Lexington Virginia,1907,1959,51,905,472,432,.522,-15.29,-5.66,0,3,2,0,0,0
449,Washington (MO) Bears,St. Louis Missouri,1905,1960,52,921,433,488,.470,-5.26,-1.82,0,2,0,0,0,0
450,Washington College Shoremen,Chestertown Maryland,1913,1925,13,151,109,42,.722,,,0,0,0,,,
