team,link
Loyola (IL),/cbb/schools/loyola-il
Loyola Marymount,/cbb/schools/loyola-marymount
Loyola (MD),/cbb/schools/loyola-md
Maine,/cbb/schools/maine
Manhattan,/cbb/schools/manhattan
Marist,/cbb/schools/marist
Marquette,/cbb/schools/marquette
Marshall,/cbb/schools/marshall
Maryland,/cbb/schools/maryland
UMBC,/cbb/schools/maryland-baltimore-county
Maryland-Eastern Shore,/cbb/schools/maryland-eastern-shore
UMass,/cbb/schools/massachusetts
UMass-Lowell,/cbb/schools/massachusetts-lowell
McNeese State,/cbb/schools/mcneese-state
Memphis,/cbb/schools/memphis
Mercer,/cbb/schools/mercer
Merrimack,/cbb/schools/merrimack
Miami (FL),/cbb/schools/miami-fl
Miami (OH),/cbb/schools/miami-oh
Michigan,/cbb/schools/michigan
Michigan State,/cbb/schools/michigan-state
Middle Tennessee,/cbb/schools/middle-tennessee
Milwaukee,/cbb/schools/milwaukee
Minnesota,/cbb/schools/minnesota
Ole Miss,/cbb/schools/mississippi
Mississippi State,/cbb/schools/mississippi-state
Mississippi Valley State,/cbb/schools/mississippi-valley-state
Missouri,/cbb/schools/missouri
UMKC,/cbb/schools/missouri-kansas-city
Missouri State,/cbb/schools/missouri-state
Monmouth,/cbb/schools/monmouth
Montana,/cbb/schools/montana
Montana State,/cbb/schools/montana-state
Morehead State,/cbb/schools/morehead-state
Morgan State,/cbb/schools/morgan-state
Mount St. Mary's,/cbb/schools/mount-st-marys
Murray State,/cbb/schools/murray-state
Navy,/cbb/schools/navy
Nebraska,/cbb/schools/nebraska
Omaha,/cbb/schools/nebraska-omaha
Nevada,/cbb/schools/nevada
UNLV,/cbb/schools/nevada-las-vegas
New Hampshire,/cbb/schools/new-hampshire
New Mexico,/cbb/schools/new-mexico
New Mexico State,/cbb/schools/new-mexico-state
New Orleans,/cbb/schools/new-orleans
Niagara,/cbb/schools/niagara
Nicholls State,/cbb/schools/nicholls-state
NJIT,/cbb/schools/njit
Norfolk State,/cbb/schools/norfolk-state
North Alabama,/cbb/schools/north-alabama
UNC,/cbb/schools/north-carolina
UNC Asheville,/cbb/schools/north-carolina-asheville
North Carolina A&amp;T,/cbb/schools/north-carolina-at
North Carolina Central,/cbb/schools/north-carolina-central
UNC Greensboro,/cbb/schools/north-carolina-greensboro
NC State,/cbb/schools/north-carolina-state
UNC Wilmington,/cbb/schools/north-carolina-wilmington
North Dakota,/cbb/schools/north-dakota
North Dakota State,/cbb/schools/north-dakota-state
North Florida,/cbb/schools/north-florida
North Texas,/cbb/schools/north-texas
Northeastern,/cbb/schools/northeastern
Northern Arizona,/cbb/schools/northern-arizona
Northern Colorado,/cbb/schools/northern-colorado
Northern Illinois,/cbb/schools/northern-illinois
Northern Iowa,/cbb/schools/northern-iowa
Northern Kentucky,/cbb/schools/northern-kentucky
Northwestern,/cbb/schools/northwestern
Northwestern State,/cbb/schools/northwestern-state
Notre Dame,/cbb/schools/notre-dame
Oakland,/cbb/schools/oakland
Ohio,/cbb/schools/ohio
Ohio State,/cbb/schools/ohio-state
Oklahoma,/cbb/schools/oklahoma
Oklahoma State,/cbb/schools/oklahoma-state
Old Dominion,/cbb/schools/old-dominion
Oral Roberts,/cbb/schools/oral-roberts
Oregon,/cbb/schools/oregon
Oregon State,/cbb/schools/oregon-state
Pacific,/cbb/schools/pacific
Penn State,/cbb/schools/penn-state
Penn,/cbb/schools/pennsylvania
Pepperdine,/cbb/schools/pepperdine
Pitt,/cbb/schools/pittsburgh
Portland,/cbb/schools/portland
Portland State,/cbb/schools/portland-state
Prairie View,/cbb/schools/prairie-view
Presbyterian,/cbb/schools/presbyterian
Princeton,/cbb/schools/princeton
Providence,/cbb/schools/providence
Purdue,/cbb/schools/purdue
Quinnipiac,/cbb/schools/quinnipiac
Radford,/cbb/schools/radford
Rhode Island,/cbb/schools/rhode-island
Rice,/cbb/schools/rice
Richmond,/cbb/schools/richmond
Rider,/cbb/schools/rider
Robert Morris,/cbb/schools/robert-morris
Rutgers,/cbb/schools/rutgers
Sacramento State,/cbb/schools/sacramento-state
Sacred Heart,/cbb/schools/sacred-heart
Saint Francis (PA),/cbb/schools/saint-francis-pa
St. Joseph's,/cbb/schools/saint-josephs
Saint Louis,/cbb/schools/saint-louis
Saint Mary's,/cbb/schools/saint-marys-ca
St. Peter's,/cbb/schools/saint-peters
Sam Houston State,/cbb/schools/sam-houston-state
Samford,/cbb/schools/samford
San Diego,/cbb/schools/san-diego
San Diego State,/cbb/schools/san-diego-state
San Francisco,/cbb/schools/san-francisco
San Jose State,/cbb/schools/san-jose-state
Santa Clara,/cbb/schools/santa-clara
Seattle,/cbb/schools/seattle
Seton Hall,/cbb/schools/seton-hall
Siena,/cbb/schools/siena
South Alabama,/cbb/schools/south-alabama
South Carolina,/cbb/schools/south-carolina
South Carolina State,/cbb/schools/south-carolina-state
USC Upstate,/cbb/schools/south-carolina-upstate
South Dakota,/cbb/schools/south-dakota
South Dakota State,/cbb/schools/south-dakota-state
South Florida,/cbb/schools/south-florida
Southeast Missouri State,/cbb/schools/southeast-missouri-state
Southeastern Louisiana,/cbb/schools/southeastern-louisiana
Southern,/cbb/schools/southern
USC,/cbb/schools/southern-california
Southern Illinois,/cbb/schools/southern-illinois
SIU-Edwardsville,/cbb/schools/southern-illinois-edwardsville
SMU,/cbb/schools/southern-methodist
Southern Miss,/cbb/schools/southern-mississippi
Southern Utah,/cbb/schools/southern-utah
St. Bonaventure,/cbb/schools/st-bonaventure
St. Francis (NY),/cbb/schools/st-francis-ny
St. John's (NY),/cbb/schools/st-johns-ny
Stanford,/cbb/schools/stanford
Stephen F. Austin,/cbb/schools/stephen-f-austin
Stetson,/cbb/schools/stetson
Stony Brook,/cbb/schools/stony-brook
Syracuse,/cbb/schools/syracuse
Tarleton State,/cbb/schools/tarleton-state
Temple,/cbb/schools/temple
Tennessee,/cbb/schools/tennessee
UT-Martin,/cbb/schools/tennessee-martin
Tennessee State,/cbb/schools/tennessee-state
Tennessee Tech,/cbb/schools/tennessee-tech
Texas,/cbb/schools/texas
Texas A&amp;M,/cbb/schools/texas-am
Texas A&amp;M-Corpus Christi,/cbb/schools/texas-am-corpus-christi
Texas-Arlington,/cbb/schools/texas-arlington
TCU,/cbb/schools/texas-christian
UTEP,/cbb/schools/texas-el-paso
Texas-Rio Grande Valley,/cbb/schools/texas-pan-american
UTSA,/cbb/schools/texas-san-antonio
Texas Southern,/cbb/schools/texas-southern
Texas State,/cbb/schools/texas-state
Texas Tech,/cbb/schools/texas-tech
Toledo,/cbb/schools/toledo
Towson,/cbb/schools/towson
Troy,/cbb/schools/troy
Tulane,/cbb/schools/tulane
Tulsa,/cbb/schools/tulsa
UCLA,/cbb/schools/ucla
Utah,/cbb/schools/utah
Utah State,/cbb/schools/utah-state
Utah Valley,/cbb/schools/utah-valley
Valparaiso,/cbb/schools/valparaiso
Vanderbilt,/cbb/schools/vanderbilt
Vermont,/cbb/schools/vermont
Villanova,/cbb/schools/villanova
Virginia,/cbb/schools/virginia
VCU,/cbb/schools/virginia-commonwealth
VMI,/cbb/schools/virginia-military-institute
Virginia Tech,/cbb/schools/virginia-tech
Wagner,/cbb/schools/wagner
Wake Forest,/cbb/schools/wake-forest
Washington,/cbb/schools/washington
Washington State,/cbb/schools/washington-state
Weber State,/cbb/schools/weber-state
West Virginia,/cbb/schools/west-virginia
Western Carolina,/cbb/schools/western-carolina
Western Illinois,/cbb/schools/western-illinois
Western Kentucky,/cbb/schools/western-kentucky
Western Michigan,/cbb/schools/western-michigan
Wichita State,/cbb/schools/wichita-state
William &amp; Mary,/cbb/schools/william-mary
Winthrop,/cbb/schools/winthrop
Wisconsin,/cbb/schools/wisconsin
Wofford,/cbb/schools/wofford
Wright State,/cbb/schools/wright-state
Wyoming,/cbb/schools/wyoming
Xavier,/cbb/schools/xavier
Yale,/cbb/schools/yale
Youngstown State,/cbb/schools/youngstown-state
